time,pop_capacity,pop_count,pop_updated,upw_capacity,upw_count,upw_updated,fre_capacity,fre_count,fre_updated
2021-04-05 22:00:05.296236,280,34,9:59 PM,64,0,10:00 PM,165,80,10:00 PM
2021-04-05 22:15:01.934748,280,26,10:11 PM,64,0,10:11 PM,165,0,10:12 PM
2021-04-05 22:30:01.864686,280,26,10:23 PM,64,0,10:20 PM,165,0,10:20 PM
2021-04-05 22:45:01.645090,280,22,10:43 PM,64,0,10:40 PM,165,0,10:40 PM
2021-04-05 23:00:03.835374,280,19,11:00 PM,64,0,10:50 PM,165,0,10:50 PM
2021-04-05 23:15:02.456856,280,12,11:11 PM,64,0,11:10 PM,165,0,11:10 PM
2021-04-05 23:30:01.985829,280,7,11:28 PM,64,0,11:20 PM,165,0,11:28 PM
2021-04-05 23:45:01.853898,280,2,11:40 PM,64,0,11:40 PM,165,0,11:40 PM
2021-04-06 00:15:02.500672,280,0,12:10 AM,64,0,12:10 AM,165,0,12:10 AM
2021-04-06 00:30:07.325757,280,0,12:30 AM,64,0,12:20 AM,165,0,12:30 AM
2021-04-06 00:45:02.148574,280,0,12:41 AM,64,0,12:40 AM,165,0,12:41 AM
2021-04-06 01:00:01.757009,280,0,12:51 AM,64,0,12:50 AM,165,0,12:50 AM
2021-04-06 01:15:01.586098,280,0,1:10 AM,64,0,1:10 AM,165,0,1:11 AM
2021-04-06 01:30:02.251003,280,0,1:30 AM,64,0,1:20 AM,165,0,1:20 AM
2021-04-06 01:45:01.766040,280,0,1:40 AM,64,0,1:40 AM,165,0,1:40 AM
2021-04-06 02:00:01.740469,280,0,1:50 AM,64,0,1:50 AM,165,0,1:50 AM
2021-04-06 02:15:01.811778,280,0,2:13 AM,64,0,2:10 AM,165,0,2:10 AM
2021-04-06 02:30:01.662245,280,0,2:20 AM,64,0,2:20 AM,165,0,2:20 AM
2021-04-06 02:45:03.985022,280,0,2:40 AM,64,0,2:40 AM,165,0,2:40 AM
2021-04-06 03:00:04.114777,280,0,2:53 AM,64,0,2:50 AM,165,0,2:50 AM
2021-04-06 03:15:02.171677,280,0,3:10 AM,64,0,3:11 AM,165,0,3:10 AM
2021-04-06 03:30:01.724294,280,0,3:20 AM,64,0,3:21 AM,165,0,3:20 AM
2021-04-06 03:45:02.442771,280,0,3:40 AM,64,0,3:40 AM,165,0,3:40 AM
2021-04-06 04:00:02.414966,280,0,3:50 AM,64,0,3:50 AM,165,0,3:50 AM
2021-04-06 04:15:02.236577,280,0,4:11 AM,64,0,4:10 AM,165,0,4:10 AM
2021-04-06 04:30:02.244736,280,0,4:20 AM,64,0,4:21 AM,165,0,4:20 AM
2021-04-06 04:45:01.903404,280,0,4:40 AM,64,0,4:40 AM,165,0,4:40 AM
2021-04-06 05:00:02.317143,280,0,4:51 AM,64,0,4:50 AM,165,0,4:50 AM
2021-04-06 05:15:02.342340,280,0,5:10 AM,64,0,5:10 AM,165,0,5:10 AM
2021-04-06 05:30:01.842337,280,0,5:25 AM,64,0,5:25 AM,165,0,5:25 AM
2021-04-06 05:45:01.593592,280,0,5:43 AM,64,0,5:40 AM,165,0,5:40 AM
2021-04-06 06:00:01.470166,280,1,5:59 AM,64,0,5:50 AM,165,0,5:58 AM
2021-04-06 06:15:02.557597,280,26,6:14 AM,64,0,6:14 AM,165,10,6:14 AM
2021-04-06 06:30:01.498364,280,32,6:29 AM,64,0,6:29 AM,165,14,6:30 AM
2021-04-06 06:45:02.615305,280,44,6:43 AM,64,0,6:41 AM,165,26,6:41 AM
2021-04-06 07:00:02.399073,280,41,6:59 AM,64,0,6:50 AM,165,31,6:59 AM
2021-04-06 07:15:01.850416,280,46,7:13 AM,64,0,7:11 AM,165,37,7:14 AM
2021-04-06 07:30:05.273274,280,50,7:29 AM,64,0,7:24 AM,165,32,7:29 AM
2021-04-06 07:45:01.687396,280,53,7:44 AM,64,0,7:40 AM,165,38,7:44 AM
2021-04-06 08:00:06.604402,280,53,8:00 AM,64,0,8:00 AM,165,40,7:59 AM
2021-04-06 08:15:02.720790,280,47,8:14 AM,64,0,8:14 AM,165,41,8:14 AM
2021-04-06 08:30:02.550221,280,51,8:29 AM,64,0,8:29 AM,165,38,8:28 AM
2021-04-06 08:45:02.443504,280,48,8:44 AM,64,0,8:40 AM,165,39,8:44 AM
2021-04-06 09:00:01.710513,280,45,8:59 AM,64,0,8:59 AM,165,42,8:59 AM
2021-04-06 09:15:02.019076,280,47,9:14 AM,64,1,9:12 AM,165,40,9:13 AM
2021-04-06 09:30:01.887855,280,44,9:29 AM,64,1,9:27 AM,165,29,9:30 AM
2021-04-06 09:45:02.369850,280,43,9:44 AM,64,0,9:41 AM,165,24,9:44 AM
2021-04-06 10:00:05.031510,280,37,9:59 AM,64,0,10:00 AM,165,23,10:00 AM
2021-04-06 10:15:01.882499,280,39,10:09 AM,64,0,10:11 AM,165,25,10:14 AM
2021-04-06 10:30:05.699724,280,34,10:29 AM,64,0,10:30 AM,165,34,10:30 AM
2021-04-06 10:45:02.391564,280,38,10:44 AM,64,0,10:44 AM,165,40,10:44 AM
2021-04-06 11:00:03.109573,280,43,11:00 AM,64,2,10:59 AM,165,43,10:54 AM
2021-04-06 11:15:01.959606,280,47,11:14 AM,64,2,11:10 AM,165,50,11:14 AM
2021-04-06 11:30:03.789391,280,51,11:30 AM,64,2,11:29 AM,165,46,11:30 AM
2021-04-06 11:45:01.557122,280,54,11:44 AM,64,2,11:44 AM,165,36,11:44 AM
2021-04-06 12:00:02.106584,280,51,11:59 AM,64,3,11:55 AM,165,37,11:59 AM
2021-04-06 12:15:01.706006,280,54,12:14 PM,64,3,12:11 PM,165,30,12:12 PM
2021-04-06 12:30:04.772765,280,56,12:29 PM,64,0,12:30 PM,165,29,12:30 PM
2021-04-06 12:45:01.614864,280,52,12:45 PM,64,0,12:42 PM,165,32,12:44 PM
2021-04-06 13:00:02.328290,280,54,12:59 PM,64,0,12:57 PM,165,20,12:59 PM
2021-04-06 13:15:02.053259,280,56,1:14 PM,64,0,1:14 PM,165,24,1:14 PM
2021-04-06 13:30:02.076212,280,48,1:29 PM,64,0,1:29 PM,165,24,1:23 PM
2021-04-06 13:45:02.827738,280,41,1:44 PM,64,0,1:44 PM,165,22,1:44 PM
2021-04-06 14:00:01.553584,280,49,1:59 PM,64,0,1:59 PM,165,18,1:59 PM
2021-04-06 14:15:01.876654,280,55,2:14 PM,64,1,2:14 PM,165,20,2:14 PM
2021-04-06 14:30:01.627639,280,56,2:29 PM,64,1,2:26 PM,165,16,2:29 PM
2021-04-06 14:45:05.166056,280,59,2:44 PM,64,3,2:44 PM,165,22,2:45 PM
2021-04-06 15:00:01.440767,280,64,2:58 PM,64,3,2:58 PM,165,24,2:59 PM
2021-04-06 15:15:01.860471,280,66,3:14 PM,64,3,3:08 PM,165,32,3:14 PM
2021-04-06 15:30:01.747252,280,74,3:29 PM,64,3,3:28 PM,165,42,3:29 PM
2021-04-06 15:45:02.423645,280,67,3:44 PM,64,3,3:44 PM,165,49,3:44 PM
2021-04-06 16:00:01.819078,280,62,3:59 PM,64,6,3:59 PM,165,58,4:00 PM
2021-04-06 16:15:02.245987,280,63,4:14 PM,64,9,4:12 PM,165,55,4:14 PM
2021-04-06 16:30:02.314056,280,72,4:29 PM,64,14,4:30 PM,165,54,4:28 PM
2021-04-06 16:45:02.232365,280,89,4:43 PM,64,17,4:42 PM,165,58,4:44 PM
2021-04-06 17:00:04.413921,280,106,4:59 PM,64,17,5:00 PM,165,64,4:59 PM
2021-04-06 17:15:02.034992,280,124,5:14 PM,64,16,5:13 PM,165,68,5:14 PM
2021-04-06 17:30:05.242576,280,136,5:30 PM,64,24,5:29 PM,165,71,5:29 PM
2021-04-06 17:45:03.680802,280,139,5:44 PM,64,31,5:44 PM,165,65,5:44 PM
2021-04-06 18:00:02.616474,280,161,6:00 PM,64,31,5:59 PM,165,66,5:59 PM
2021-04-06 18:15:01.788645,280,167,6:14 PM,64,34,6:13 PM,165,83,6:15 PM
